MIMIC III ITEMID,MIMIC III LABEL,MIMIC III FLUID,MIMIC III CATEGORY,MIMIC III LOINC CODE,MIMIC II LOINC CODE,MIMIC II LOINC DESCRIPTION,MIMIC II ITEMID,COMMENTS
51404,CD3,OTHER BODY FLUID,HEMATOLOGY,,17826-9,CD3 cells/100 cells in Body fluid,50565,
51174,CD3 %,BLOOD,HEMATOLOGY,,,,,
51175,CD3 ABSOLUTE COUNT,BLOOD,HEMATOLOGY,,8122-4,CD3 cells [#/volume] in Blood,50317,
51176,"CD3 CELLS, PERCENT",BLOOD,HEMATOLOGY,8122-4,8124-0,CD3 cells/100 cells in Blood,50352,
51177,CD33,BLOOD,HEMATOLOGY,,8102-6,CD33 cells/100 cells in Blood,50353,
51320,CD33,BONE MARROW,HEMATOLOGY,,51293-9,CD33 cells/100 cells in Bone marrow,50488,
51405,CD33,OTHER BODY FLUID,HEMATOLOGY,,51294-7,CD33 cells/100 cells in Body fluid,50566,
51178,CD34,BLOOD,HEMATOLOGY,5465-0,8125-7,CD34 cells/100 cells in Blood,50354,
51321,CD34,BONE MARROW,HEMATOLOGY,,57400-4,CD34 cells/100 cells in Bone marrow,50489,
51406,CD34,OTHER BODY FLUID,HEMATOLOGY,,,,50567,
51179,CD38,BLOOD,HEMATOLOGY,,8126-5,CD38 cells/100 cells in Blood,50355,
51322,CD38,BONE MARROW,HEMATOLOGY,,,,50719,
51407,CD38,OTHER BODY FLUID,HEMATOLOGY,,51299-6,CD38 cells/100 cells in Body fluid,50568,
51323,CD4,BONE MARROW,HEMATOLOGY,,51301-0,CD4 cells/100 cells in Bone marrow,50490,
51408,CD4,OTHER BODY FLUID,HEMATOLOGY,,17822-8,CD4 cells/100 cells in Body fluid,50569,
51180,"CD4 CELLS, PERCENT",BLOOD,HEMATOLOGY,8127-3,8127-3,CD4 cells [#/volume] in Blood,50318,
51181,CD4/CD8 RATIO,BLOOD,HEMATOLOGY,,8129-9,CD4 cells/CD8 Cells [# Ratio] in Blood,50357,
51409,CD4/CD8 RATIO,OTHER BODY FLUID,HEMATOLOGY,,18266-7,CD4 cells/CD8 Cells [# Ratio] in Body fluid,50570,
51182,CD41,BLOOD,HEMATOLOGY,,17148-8,CD41 cells/100 cells in Blood,50358,
51324,CD41,BONE MARROW,HEMATOLOGY,,51319-2,CD41 cells/100 cells in Bone marrow,50491,
51410,CD41,OTHER BODY FLUID,HEMATOLOGY,,51320-0,CD41 cells/100 cells in Body fluid,50571,
51183,CD45,BLOOD,HEMATOLOGY,,8130-7,CD45 cells/100 cells in Blood,50359,
51325,CD45,BONE MARROW,HEMATOLOGY,,51340-8,CD45 cells/100 cells in Bone marrow,50492,
51411,CD45,OTHER BODY FLUID,HEMATOLOGY,,17823-6,CD45 cells/100 cells in Body fluid,50572,
51184,CD5,BLOOD,HEMATOLOGY,,8132-3,CD5 cells/100 cells in Blood,50360,
51326,CD5,BONE MARROW,HEMATOLOGY,,35640-2,CD5 cells/100 cells in Bone marrow,50493,
51412,CD5,OTHER BODY FLUID,HEMATOLOGY,,57423-6,CD5 cells/100 cells in Body fluid,50573,
51185,CD5 %,BLOOD,HEMATOLOGY,,,,,
51186,CD5 ABSOLUTE COUNT,BLOOD,HEMATOLOGY,,,,,look for CD5 [#/volume] LOINC
51187,CD55,BLOOD,HEMATOLOGY,,17175-1,CD55 cells/100 cells in Blood,50361,
51327,CD55,BONE MARROW,HEMATOLOGY,,51344-0,CD55 cells/100 cells in Bone marrow,50494,
51535,CD55,OTHER BODY FLUID,HEMATOLOGY,,,,50727,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
51188,CD56,BLOOD,HEMATOLOGY,,8133-1,CD56 cells/100 cells in Blood,50362,
51328,CD56,BONE MARROW,HEMATOLOGY,,,,50495,
51413,CD56,OTHER BODY FLUID,HEMATOLOGY,,57424-4,CD56 cells/100 cells in Body fluid,50574,
51189,CD57,BLOOD,HEMATOLOGY,,,,50708,
51329,CD57,BONE MARROW,HEMATOLOGY,,,,50720,
51414,CD57,OTHER BODY FLUID,HEMATOLOGY,,,,50728,
51190,CD59,BLOOD,HEMATOLOGY,,17177-7,CD59 cells/100 cells in Blood,50363,
51330,CD59,BONE MARROW,HEMATOLOGY,,51358-0,CD59 cells/100 cells in Bone marrow,50496,
51536,CD59,OTHER BODY FLUID,HEMATOLOGY,,,,50729,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
51191,CD64,BLOOD,HEMATOLOGY,,17183-5,CD64 cells/100 cells in Blood,50364,
51331,CD64,BONE MARROW,HEMATOLOGY,,51365-5,CD64 cells/100 cells in Bone marrow,50497,
51415,CD64,OTHER BODY FLUID,HEMATOLOGY,,51366-3,CD64 cells/100 cells in Body fluid,50575,
51192,CD7,BLOOD,HEMATOLOGY,,8135-6,CD7 cells/100 cells in Blood,50365,
51332,CD7,BONE MARROW,HEMATOLOGY,,35641-0,CD7 cells/100 cells in Bone marrow,50498,
51416,CD7,OTHER BODY FLUID,HEMATOLOGY,,57425-1,CD7 cells/100 cells in Body fluid,50576,
51193,CD71,BLOOD,HEMATOLOGY,,8136-4,CD71 cells/100 cells in Blood,50366,
51333,CD71,BONE MARROW,HEMATOLOGY,,,,50499,
51417,CD71,OTHER BODY FLUID,HEMATOLOGY,,57426-9,CD71 cells/100 cells in Body fluid,50577,
51334,CD8,BONE MARROW,HEMATOLOGY,,51372-1,CD8+HLA-DR+ cells/100 cells in Bone marrow,50500,
51418,CD8,OTHER BODY FLUID,HEMATOLOGY,,17824-4,CD8 cells/100 cells in Body fluid,50578,
51194,"CD8 CELLS, PERCENT",BLOOD,HEMATOLOGY,8137-2,8137-2,CD8 cells [#/volume] in Blood,50319,
51471,CELLULAR CAST,URINE,HEMATOLOGY,,,,50632,
50901,CENTROMERE,BLOOD,CHEMISTRY,,16570-4,Centromere Ab [Presence] in Serum by Immunofluorescence,50088,
50902,CHLORIDE,BLOOD,CHEMISTRY,2075-0,2069-3,Chloride [Moles/volume] in Blood,50083,
50839,"CHLORIDE, ASCITES",ASCITES,CHEMISTRY,,33366-6,Chloride [Moles/volume] in Peritoneal fluid,50039,
51030,"CHLORIDE, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,2072-7,Chloride [Moles/volume] in Body fluid,50214,
51013,"CHLORIDE, CSF",CEREBROSPINAL FLUID (CSF),CHEMISTRY,,,,,
51050,"CHLORIDE, PLEURAL",PLEURAL,CHEMISTRY,,53627-6,Chloride [Moles/volume] in Pleural fluid,50236,
51062,"CHLORIDE, STOOL",STOOL,CHEMISTRY,,15158-9,Chloride [Moles/volume] in Stool,50248,
51078,"CHLORIDE, URINE",URINE,CHEMISTRY,2078-4,2078-4,Chloride [Moles/volume] in Urine,50263,
50806,"CHLORIDE, WHOLE BLOOD",BLOOD,BLOOD GAS,,2069-3,Chloride [Moles/volume] in Blood,50004,
51472,CHOLESTEROL CRYSTALS,URINE,HEMATOLOGY,5777-8,,,50732,
50903,CHOLESTEROL RATIO (TOTAL/HDL),BLOOD,CHEMISTRY,9322-9,32309-7,Cholesterol.total/Cholesterol.in HDL [Molar ratio] in Serum or Plasma,50084,
50840,"CHOLESTEROL, ASCITES",ASCITES,CHEMISTRY,,14441-0,Cholesterol [Mass/volume] in Peritoneal fluid,50040,
51031,"CHOLESTEROL, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,12183-0,Cholesterol [Mass/volume] in Body fluid,50215,
50904,"CHOLESTEROL, HDL",BLOOD,CHEMISTRY,2086-7,2085-9,Cholesterol.in HDL [Mass/volume] in Serum or Plasma,50122,
50905,"CHOLESTEROL, LDL, CALCULATED",BLOOD,CHEMISTRY,2090-9,13457-7,Cholesterol.in LDL [Mass/volume] in Serum or Plasma by calculation,50135,
50906,"CHOLESTEROL, LDL, MEASURED",BLOOD,CHEMISTRY,,18262-6,Cholesterol.in LDL [Mass/volume] in Serum or Plasma by Direct assay,50136,
51051,"CHOLESTEROL, PLEURAL",PLEURAL,CHEMISTRY,,9618-0,Cholesterol [Mass/volume] in Pleural fluid,50237,
50907,"CHOLESTEROL, TOTAL",BLOOD,CHEMISTRY,2093-3,2093-3,Cholesterol [Mass/volume] in Serum or Plasma,50085,
50908,CK-MB INDEX,BLOOD,CHEMISTRY,,20569-0,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma,50141,
51079,"COCAINE, URINE",URINE,CHEMISTRY,,3397-7,Cocaine [Presence] in Urine,50292,
51195,COLLAGEN,BLOOD,HEMATOLOGY,,,,50369,
50807,COMMENTS,BLOOD,BLOOD GAS,,,,,"No ITEMID in mimic2v26, but exists in 2010 lab data dump"
50909,CORTISOL,BLOOD,CHEMISTRY,2143-6,2143-6,Cortisol [Mass/volume] in Serum or Plasma,50089,
50910,CREATINE KINASE (CK),BLOOD,CHEMISTRY,2157-6,2157-6,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,50086,
50911,"CREATINE KINASE, MB ISOENZYME",BLOOD,CHEMISTRY,6773-6,49551-5,Creatine kinase.MB [Mass/volume] in Blood,50087,
50912,CREATININE,BLOOD,CHEMISTRY,2160-0,2160-0,Creatinine [Mass/volume] in Serum or Plasma,50090,
51080,CREATININE CLEARANCE,URINE,CHEMISTRY,,33558-8,Creatinine renal clearance in unspecified time,50265,
50841,"CREATININE, ASCITES",ASCITES,CHEMISTRY,,12191-3,Creatinine [Mass/volume] in Peritoneal fluid,50042,
51032,"CREATININE, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,12190-5,Creatinine [Mass/volume] in Body fluid,50216,
51021,"CREATININE, JOINT FLUID",JOINT FLUID,CHEMISTRY,,14401-4,Creatinine [Mass/volume] in Synovial fluid,50207,
51052,"CREATININE, PLEURAL",PLEURAL,CHEMISTRY,,14399-0,Creatinine [Mass/volume] in Pleural fluid,50239,
51081,"CREATININE, SERUM",URINE,CHEMISTRY,,,,50257,
51082,"CREATININE, URINE",URINE,CHEMISTRY,2161-8,2161-8,Creatinine [Mass/volume] in Urine,50264,
50913,CRYOGLOBULIN,BLOOD,CHEMISTRY,,5117-7,Cryoglobulin [Presence] in Serum,50092,
50914,CYCLOSPORIN,BLOOD,CHEMISTRY,3521-2,3520-4,Cyclosporine [Mass/volume] in Blood,50093,
51473,CYSTEINE CRYSTALS,URINE,HEMATOLOGY,5782-8,34277-4,Cysteine [Moles/volume] in Urine,50635,
50915,D-DIMER,BLOOD,CHEMISTRY,,,,,"No ITEMID in mimic2v26, but exists in 2010 lab data dump"
51196,D-DIMER,BLOOD,HEMATOLOGY,,48065-7,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,50370,
50916,DHEA-SULFATE,BLOOD,CHEMISTRY,2191-5,2191-5,Dehydroepiandrosterone sulfate [Mass/volume] in Serum or Plasma,50094,
50917,DIGOXIN,BLOOD,CHEMISTRY,10535-3,10535-3,Digoxin [Mass/volume] in Serum or Plasma,50095,
50918,DOUBLE STRANDED DNA,BLOOD,CHEMISTRY,,5130-0,DNA double strand Ab [Units/volume] in Serum,50192,
50919,EDTA HOLD,BLOOD,CHEMISTRY,,,,50097,
51197,ELLIPTOCYTES,BLOOD,HEMATOLOGY,6681-1,11274-8,Elliptocytes [Presence] in Blood by Light microscopy,50371,
51198,ENVELOPE CELLS,BLOOD,HEMATOLOGY,681-7,,,50372,
51199,EOSINOPHIL COUNT,BLOOD,HEMATOLOGY,,26449-9,Eosinophils [#/volume] in Blood,50374,
51114,EOSINOPHILS,ASCITES,HEMATOLOGY,,30380-0,Eosinophils/100 leukocytes in Peritoneal fluid,50301,
51200,EOSINOPHILS,BLOOD,HEMATOLOGY,711-2,26450-7,Eosinophils/100 leukocytes in Blood,50373,
51347,EOSINOPHILS,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,26451-5,Eosinophils/100 leukocytes in Cerebral spinal fluid,50513,
51368,EOSINOPHILS,JOINT FLUID,HEMATOLOGY,,17834-3,Eosinophils/100 leukocytes in Synovial fluid,50534,
51419,EOSINOPHILS,OTHER BODY FLUID,HEMATOLOGY,,26452-3,Eosinophils/100 leukocytes in Body fluid,50579,
51444,EOSINOPHILS,PLEURAL,HEMATOLOGY,,30379-2,Eosinophils/100 leukocytes in Pleural fluid,50603,
51474,EOSINOPHILS,URINE,HEMATOLOGY,,25156-1,Eosinophils [Presence] in Urine sediment by Light microscopy,50636,
51201,EPINEPHERINE,BLOOD,HEMATOLOGY,,,,50375,
51475,EPITHELIAL CASTS,URINE,HEMATOLOGY,,,,50733,
51476,EPITHELIAL CELLS,URINE,HEMATOLOGY,5787-7,5787-7,Epithelial cells [#/area] in Urine sediment by Microscopy high power field,50637,
50920,ESTIMATED GFR (MDRD EQUATION),BLOOD,CHEMISTRY,,33914-3,Glomerular filtration rate/1.73 sq M.predicted by Creatinine-based formula (MDRD),50193,
50921,ESTRADIOL,BLOOD,CHEMISTRY,,2243-4,Estradiol [Mass/volume] in Serum or Plasma,50098,
50922,ETHANOL,BLOOD,CHEMISTRY,5642-4,5640-8,Ethanol [Mass/volume] in Blood,50099,
51083,"ETHANOL, URINE",URINE,CHEMISTRY,,5644-0,Ethanol [Presence] in Urine,50293,
51202,FACTOR II,BLOOD,HEMATOLOGY,3289-6,3289-6,Prothrombin activity actual/normal in Platelet poor plasma by Coagulation assay,50397,this loinc code seems completely wrong
51203,FACTOR IX,BLOOD,HEMATOLOGY,3188-0,3187-2,Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay,50401,
51204,FACTOR V,BLOOD,HEMATOLOGY,,3193-0,Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay,50461,
51205,FACTOR VII,BLOOD,HEMATOLOGY,,3198-9,Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay,50462,
51206,FACTOR VIII,BLOOD,HEMATOLOGY,,3209-4,Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay,50463,
51207,FACTOR VIII INHIBITOR,BLOOD,HEMATOLOGY,,3204-5,Coagulation factor VIII inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay,50464,
51208,FACTOR X,BLOOD,HEMATOLOGY,3218-5,,,50469,
51209,FACTOR XI,BLOOD,HEMATOLOGY,3226-8,3226-8,Coagulation factor XI activity actual/normal in Platelet poor plasma by Coagulation assay,50470,
51210,FACTOR XII,BLOOD,HEMATOLOGY,,3232-6,Coagulation factor XII activity actual/normal in Platelet poor plasma by Coagulation assay,50471,
51211,FACTOR XIII,BLOOD,HEMATOLOGY,3240-9,27815-0,Coagulation factor XIII activity actual/normal in Platelet poor plasma by Chromogenic method,50472,
51524,FATTY,URINE,HEMATOLOGY,,5789-3,Fatty casts [#/area] in Urine sediment by Microscopy low power field,50639,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
50923,FAX,BLOOD,CHEMISTRY,,,,,"No ITEMID in mimic2v26, but exists in 2010 lab data dump"
50924,FERRITIN,BLOOD,CHEMISTRY,2276-4,2276-4,Ferritin [Mass/volume] in Serum or Plasma,50101,
51212,FETAL HEMOGLOBIN,BLOOD,HEMATOLOGY,,4576-5,Hemoglobin F/Hemoglobin.total in Blood,50377,
51033,FETALFN,OTHER BODY FLUID,CHEMISTRY,,,,50701,
51213,FIBRIN DEGRADATION PRODUCTS,BLOOD,HEMATOLOGY,,30226-5,Fibrin+Fibrinogen fragments [Mass/volume] in Platelet poor plasma,50376,
51214,"FIBRINOGEN, FUNCTIONAL",BLOOD,HEMATOLOGY,,3255-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,50378,
50829,FLUID TYPE,OTHER BODY FLUID,BLOOD GAS,,14725-6,[Type] of Body fluid,50031,
51215,FMC-7,BLOOD,HEMATOLOGY,,17220-5,FMC7 cells/100 cells in Blood,50379,
51335,FMC-7,BONE MARROW,HEMATOLOGY,,,,50501,
51420,FMC-7,OTHER BODY FLUID,HEMATOLOGY,,57428-5,FMC7 cells/100 cells in Body fluid,50580,
50925,FOLATE,BLOOD,CHEMISTRY,2284-8,2284-8,Folate [Mass/volume] in Serum or Plasma,50103,
50926,FOLLICLE STIMULATING HORMONE,BLOOD,CHEMISTRY,2286-3,15067-2,Follitropin [Units/volume] in Serum or Plasma,50106,
51216,FRAGMENTED CELLS,BLOOD,HEMATOLOGY,10373-9,40746-0,Fragments [Presence] in Blood by Automated count,50380,
50808,FREE CALCIUM,BLOOD,BLOOD GAS,,1994-3,Calcium.ionized [Moles/volume] in Blood,50030,
51477,FREE FAT,URINE,HEMATOLOGY,,53359-6,Fat [#/area] in Urine by Computer assisted method,50640,
51526,FRUCAMN+,BLOOD,CHEMISTRY,,,,50683,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
50927,GAMMA GLUTAMYLTRANSFERASE,BLOOD,CHEMISTRY,2324-2,2324-2,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,50109,
50928,GASTRIN,BLOOD,CHEMISTRY,2333-3,2333-3,Gastrin [Mass/volume] in Serum or Plasma,50107,
50929,GENTAMICIN,BLOOD,CHEMISTRY,3664-0,35668-3,Gentamicin [Mass/volume] in Serum or Plasma,50108,
50930,GLOBULIN,BLOOD,CHEMISTRY,2336-6,2336-6,Globulin [Mass/volume] in Serum,50111,
50809,GLUCOSE,BLOOD,BLOOD GAS,,2339-0,Glucose [Mass/volume] in Blood,50006,
50931,GLUCOSE,BLOOD,CHEMISTRY,6777-7,2345-7,Glucose [Mass/volume] in Serum or Plasma,50112,
51478,GLUCOSE,URINE,HEMATOLOGY,5792-7,2350-7,Glucose [Mass/volume] in Urine,50641,
50842,"GLUCOSE, ASCITES",ASCITES,CHEMISTRY,,2347-3,Glucose [Mass/volume] in Peritoneal fluid,50043,
51034,"GLUCOSE, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,2344-0,Glucose [Mass/volume] in Body fluid,50217,
51014,"GLUCOSE, CSF",CEREBROSPINAL FLUID (CSF),CHEMISTRY,,2342-4,Glucose [Mass/volume] in Cerebral spinal fluid,50201,
51022,"GLUCOSE, JOINT FLUID",JOINT FLUID,CHEMISTRY,,2348-1,Glucose [Mass/volume] in Synovial fluid,50208,
51053,"GLUCOSE, PLEURAL",PLEURAL,CHEMISTRY,,2346-5,Glucose [Mass/volume] in Pleural fluid,50240,
51084,"GLUCOSE, URINE",URINE,CHEMISTRY,,2350-7,Glucose [Mass/volume] in Urine,50266,
51217,GLYCO A,BLOOD,HEMATOLOGY,,17221-3,CD235a cells/100 cells in Blood,50381,
51336,GLYCO A,BONE MARROW,HEMATOLOGY,,33208-0,CD235a cells/100 cells in Bone marrow,50502,
51421,GLYCO A,OTHER BODY FLUID,HEMATOLOGY,,57430-1,CD235a cells/100 cells in Body fluid,50581,
51523,GR HOLD,URINE,CHEMISTRY,,,,50267,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
51479,GRANULAR CASTS,URINE,HEMATOLOGY,5793-5,5793-5,Granular casts [#/area] in Urine sediment by Microscopy low power field,50642,
51218,GRANULOCYTE COUNT,BLOOD,HEMATOLOGY,,30394-1,Granulocytes [#/volume] in Blood,50382,
50932,GRAY TOP HOLD (PLASMA),BLOOD,CHEMISTRY,,,,50114,
50933,GREEN TOP HOLD (PLASMA),BLOOD,CHEMISTRY,,,,50113,
50934,H,BLOOD,CHEMISTRY,,,,50684,
51219,H/O SMEAR,BLOOD,HEMATOLOGY,,38924-7,TBX5 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,50393,this loinc code looks super suspicious
50935,HAPTOGLOBIN,BLOOD,CHEMISTRY,4542-7,4542-7,Haptoglobin [Mass/volume] in Serum or Plasma,50115,
50936,"HCG, MATERNAL SCREEN",BLOOD,CHEMISTRY,,,,50689,
51085,"HCG, URINE, QUALITATIVE",URINE,CHEMISTRY,,2106-3,Choriogonadotropin [Presence] in Urine,50281,
51220,HEINZ BODY PREP,BLOOD,HEMATOLOGY,,48068-1,Heinz bodies [Presence] in Blood,50384,
51221,HEMATOCRIT,BLOOD,HEMATOLOGY,4544-3,20570-8,Hematocrit [Volume Fraction] of Blood,50383,
51480,HEMATOCRIT,URINE,HEMATOLOGY,,17809-5,Hematocrit [Volume Fraction] of Urine,50643,
51115,"HEMATOCRIT, ASCITES",ASCITES,HEMATOLOGY,,,,50302,
50810,"HEMATOCRIT, CALCULATED",BLOOD,BLOOD GAS,,20570-8,Hematocrit [Volume Fraction] of Blood,50029,
51348,"HEMATOCRIT, CSF",CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,30398-2,Hematocrit [Volume Fraction] of Cerebral spinal fluid,50514,
51369,"HEMATOCRIT, JOINT FLUID",JOINT FLUID,HEMATOLOGY,,,,50535,
51422,"HEMATOCRIT, OTHER FLUID",OTHER BODY FLUID,HEMATOLOGY,,11153-4,Hematocrit [Volume Fraction] of Body fluid,50582,
51445,"HEMATOCRIT, PLEURAL",PLEURAL,HEMATOLOGY,,,,50604,
50811,HEMOGLOBIN,BLOOD,BLOOD GAS,,718-7,Hemoglobin [Mass/volume] in Blood,50007,
51222,HEMOGLOBIN,BLOOD,HEMATOLOGY,718-7,718-7,Hemoglobin [Mass/volume] in Blood,50386,
51223,HEMOGLOBIN A2,BLOOD,HEMATOLOGY,4552-6,4551-8,Hemoglobin A2/Hemoglobin.total in Blood,50388,
51224,HEMOGLOBIN C,BLOOD,HEMATOLOGY,4561-7,4563-3,Hemoglobin C/Hemoglobin.total in Blood,50389,
51225,HEMOGLOBIN F,BLOOD,HEMATOLOGY,9749-3,4576-5,Hemoglobin F/Hemoglobin.total in Blood,50390,
51226,HEMOGLOBLIN A,BLOOD,HEMATOLOGY,10346-5,4546-8,Hemoglobin A/Hemoglobin.total in Blood,50387,
51227,HEMOGLOBLIN S,BLOOD,HEMATOLOGY,4622-7,4625-0,Hemoglobin S/Hemoglobin.total in Blood,50391,
51481,HEMOSIDERIN,URINE,HEMATOLOGY,,4644-1,Hemosiderin [Presence] in Urine,50644,
51228,HEPARIN,BLOOD,HEMATOLOGY,,13055-9,Heparin [Units/volume] in Platelet poor plasma,50385,
51229,"HEPARIN, LMW",BLOOD,HEMATOLOGY,,32684-3,LMW Heparin [Units/volume] in Platelet poor plasma,50405,
50937,HEPATITIS A VIRUS ANTIBODY,BLOOD,CHEMISTRY,5183-9,20575-7,Hepatitis A virus Ab [Presence] in Serum,50116,
50938,HEPATITIS A VIRUS IGM ANTIBODY,BLOOD,CHEMISTRY,,22314-9,Hepatitis A virus IgM Ab [Presence] in Serum,50132,
50939,"HEPATITIS B CORE ANTIBODY, IGM",BLOOD,CHEMISTRY,,31204-1,Hepatitis B virus core IgM Ab [Presence] in Serum,50133,
50940,HEPATITIS B SURFACE ANTIBODY,BLOOD,CHEMISTRY,5193-8,32019-2,Hepatitis B virus surface Ab [Titer] in Serum,50118,
50941,HEPATITIS B SURFACE ANTIGEN,BLOOD,CHEMISTRY,5196-1,5195-3,Hepatitis B virus surface Ag [Presence] in Serum,50119,
50942,HEPATITIS B VIRUS CORE ANTIBODY,BLOOD,CHEMISTRY,5187-0,16933-4,Hepatitis B virus core Ab [Presence] in Serum,50117,
50943,HEPATITIS C VIRUS ANTIBODY,BLOOD,CHEMISTRY,16128-1,16128-1,Hepatitis C virus Ab [Presence] in Serum,50121,
50944,HIV ANTIBODY,BLOOD,CHEMISTRY,5220-9,,,50123,
51230,HLA-DR,BLOOD,HEMATOLOGY,,32621-5,HLA-DR [Presence],50392,
51337,HLA-DR,BONE MARROW,HEMATOLOGY,,51380-4,HLA-DR+ cells/100 cells in Bone marrow,50503,
